Pid,mrp,sale_price,discount_percentage,seller_name
B085GL266P,16999,199,0.99,Bhagirath fab
B0855V7MQ8,798,510,0.36,BasicDeal
B084M511KM,299,299,0,ONESENSE ENTERPRISE
B0777HKWJF,299,60,0.8,Genesis Lifesciences (India) Pvt. Ltd.
B079CHH5M3,1000,250,0.75,Aastha Uniform and Overgowns
B0052GIM84,249,135,0.46,Aurum Creations
B076GXKW7Z,1020,515,0.5,New Prime Store
B07C5TF6YT,899,155,0.83,Sivaana Colours
B07G8BHQF6,699,269,0.62,Riderscart
B084JGXGGK,899,699,0.22,iSWEVEN
B085LC3VJL,750,425,0.43,Perfect Sales India
B085LQ76NC,449,249,0.45,Antil's Hub
B085LPT6MW,999,449,0.55,Antil's Hub
B085LQ1NBB,1999,1149,0.43,Antil's Hub
B085LPV6XK,3999,2299,0.43,Antil's Hub
B085HXY874,10999,2400,0.78,Warrior Armory
B00LSSNIEI,199,160,0.2,Cloudtail India
B085LPPMSX,1700,1100,0.35,Antil's Hub
B013WCNHSO,2100,1529,0.27,clickforsign®
B085LNZCGQ,1500,949,0.37,Antil's Hub
B085L8MPJN,699,265,0.62,GLOBALEXPORTER
B085GN66RB,60000,2000,0.97,ultrasav
B085MD7GYH,19999,499,0.98,Any Designer®
B085LBDMLG,1299,1299,0,Twisha®
B085HWRHNC,2500,1266,0.49,Shoppers Home
B085DDJS32,9999,1699,0.83,Om Fab
B079QMPH7C,699,175,0.75,Aurum Creations
B075WT2TT6,499,420,0.16,Safety  Products
B01N434WX5,299,149,0.5,Aurum Creations
B085LLFQVP,1999,900,0.55,DFO Direct Factory
B085KYF3BJ,1100,750,0.32,VINAYAKAMART
B01MR3AJA1,800,750,0.06,UNIFORM CRAFT
B084VM1JTC,2000,599,0.7,Trendy traders
B085DFRLBB,9999,999,0.9,Siddharth Fab
B085M7XKNL,20000,4200,0.79,ultrasav
B085LB2GZY,499,218,0.56,ALGRADE FASHION
B085LD2JGR,499,249,0.5,Aksan fashion
B085MCD3GR,30000,9999,0.67,Any Designer®
B085LKDMDF,4000,2999,0.25,Cloudtail India
B085LJMWJ1,2000,1499,0.25,Cloudtail India
B085M91SQD,699,349,0.5,SanNap Healthcare
B085MDH168,499,255,0.49,Excel Impex.
B07DWZSC5W,800,280,0.65,om surgicals.
B085F2KVHC,20000,2500,0.88,ultrasav
B085LG8F8P,2399,479,0.8,Ganeshart
B0779F722X,450,359,0.2,Safety  Products
B07FHLY74Q,1399,545,0.61,Prime Surgicals India
B085LQ2XYT,499,299,0.4,Antil's Hub
B0844YVWYD,299,169,0.43,THE BIG WORLD
B07K223BHG,1200,595,0.5,Fireready(BHOLE ENTERPRISE)
B07HYXFLD8,600,450,0.25,DarshanEnterprises
B084MKW34Q,999,245,0.75,aríhαnt
B07QJVKMG3,399,165,0.59,Aurum Creations
B085LPLX6S,799,399,0.5,Antil's Hub
B01NBPWLJ0,299,299,0,Prime Surgicals India
B085LQWPGX,999,349,0.65,New Year Offer
B07PZWY82Y,949,649,0.32,Proexamine Surgicals Private Limited
